,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
0,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,-0.15221217750236582,19000000.0,10000.0,Free,0.0,Everyone,Art & Design,"January 7, 2018",1.0.0,4.0.3 and up
1,Coloring book moana,ART_AND_DESIGN,3.9,-0.15172767335210968,14000000.0,500000.0,Free,0.0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up
2,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,-0.09983356112981075,8700000.0,5000000.0,Free,0.0,Everyone,Art & Design,"August 1, 2018",1.2.4,4.0.3 and up
3,Sketch - Draw & Paint,ART_AND_DESIGN,4.5,-0.02300007748015622,25000000.0,50000000.0,Free,0.0,Teen,Art & Design,"June 8, 2018",Varies with device,4.2 and up
4,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,-0.15172767335210968,2800000.0,100000.0,Free,0.0,Everyone,Art & Design;Creativity,"June 20, 2018",1.1,4.4 and up
5,Paper flowers instructions,ART_AND_DESIGN,4.4,-0.1522073804315712,5600000.0,50000.0,Free,0.0,Everyone,Art & Design,"March 26, 2017",1.0,2.3 and up
6,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,-0.1522007844592286,19000000.0,50000.0,Free,0.0,Everyone,Art & Design,"April 26, 2018",1.1,4.0.3 and up
7,Infinite Painter,ART_AND_DESIGN,4.1,-0.13023199912143854,29000000.0,1000000.0,Free,0.0,Everyone,Art & Design,"June 14, 2018",6.1.61.1,4.2 and up
8,Garden Coloring Book,ART_AND_DESIGN,4.4,-0.14403796886834136,33000000.0,1000000.0,Free,0.0,Everyone,Art & Design,"September 20, 2017",2.9.2,3.0 and up
9,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,-0.15223496358864025,3100000.0,10000.0,Free,0.0,Everyone,Art & Design;Creativity,"July 3, 2018",2.8,4.0.3 and up
10,Text on Photo - Fonteee,ART_AND_DESIGN,4.4,-0.14398460145575126,28000000.0,1000000.0,Free,0.0,Everyone,Art & Design,"October 27, 2017",1.0.4,4.1 and up
11,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,-0.1470379370165239,12000000.0,1000000.0,Free,0.0,Everyone,Art & Design,"July 31, 2018",1.0.15,4.0 and up
12,Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,-0.12542653345293267,20000000.0,10000000.0,Free,0.0,Teen,Art & Design,"April 2, 2018",3.8,4.1 and up
13,Mandala Coloring Book,ART_AND_DESIGN,4.6,-0.14971350325222058,21000000.0,100000.0,Free,0.0,Everyone,Art & Design,"June 26, 2018",1.0.4,4.4 and up
14,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,-0.15139727510113055,37000000.0,100000.0,Free,0.0,Everyone,Art & Design,"August 3, 2018",1.2.3,2.3 and up
16,Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,-0.15012964914365345,5500000.0,500000.0,Free,0.0,Everyone,Art & Design,"July 31, 2018",3.1,4.1 and up
17,350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,-0.15229132917047697,17000000.0,10000.0,Free,0.0,Everyone,Art & Design,"November 7, 2017",1.0,2.3 and up
18,FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,-0.03584903160353329,39000000.0,5000000.0,Free,0.0,Everyone,Art & Design,"August 3, 2018",2.2.5,4.0.3 and up
19,ibis Paint X,ART_AND_DESIGN,4.6,-0.017750283129299108,31000000.0,10000000.0,Free,0.0,Everyone,Art & Design,"July 30, 2018",5.5.4,4.1 and up
20,Logo Maker - Small Business,ART_AND_DESIGN,4.0,-0.15203768405221169,14000000.0,100000.0,Free,0.0,Everyone,Art & Design,"April 20, 2018",4.0,4.1 and up
21,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,-0.151915358746949,12000000.0,100000.0,Free,0.0,Everyone,Art & Design,"March 20, 2018",1.1,4.0.3 and up
22,Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,-0.1476909382784409,4200000.0,500000.0,Free,0.0,Everyone 10+,Art & Design,"July 12, 2018",2.2.6.2,4.0.3 and up
23,Mcqueen Coloring pages,ART_AND_DESIGN,4.4,-0.15227094161959986,7000000.0,100000.0,Free,0.0,Everyone,Art & Design;Action & Adventure,"March 7, 2018",1.0.0,4.1 and up
24,HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,-0.15223676249018822,23000000.0,50000.0,Free,0.0,Everyone,Art & Design,"July 7, 2018",1.1.3,4.1 and up
25,Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,-0.15219238958533804,6000000.0,10000.0,Free,0.0,Everyone,Art & Design,"April 25, 2018",1.5,3.0 and up
26,Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,-0.14015893749704558,25000000.0,500000.0,Free,0.0,Everyone,Art & Design;Creativity,"October 11, 2017",1.0.8,4.0.3 and up
27,Animated Photo Editor,ART_AND_DESIGN,4.1,-0.15218579361299545,6100000.0,100000.0,Free,0.0,Everyone,Art & Design,"March 21, 2018",1.03,4.0.3 and up
28,Pencil Sketch Drawing,ART_AND_DESIGN,3.9,-0.15222596908090036,4600000.0,10000.0,Free,0.0,Everyone,Art & Design,"July 12, 2018",6.0,2.3 and up
29,Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,-0.1521738009360089,4200000.0,100000.0,Free,0.0,Everyone,Art & Design,"August 22, 2017",1.0,2.3 and up
30,Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,-0.15163592937316267,9200000.0,100000.0,Free,0.0,Everyone,Art & Design,"July 12, 2018",6.7.12.2018,4.0.3 and up
31,Art Drawing Ideas,ART_AND_DESIGN,4.1,-0.1521714024006116,5200000.0,50000.0,Free,0.0,Everyone,Art & Design,"May 31, 2018",1.2,2.3 and up
32,Anime Manga Coloring Book,ART_AND_DESIGN,4.5,-0.1492883628530478,11000000.0,100000.0,Free,0.0,Everyone,Art & Design,"July 19, 2018",2.20,4.0 and up
33,Easy Origami Ideas,ART_AND_DESIGN,4.2,-0.15169889092734198,11000000.0,100000.0,Free,0.0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up
34,I Creative Idea,ART_AND_DESIGN,4.7,-0.1520958485355964,4200000.0,10000.0,Free,0.0,Teen,Art & Design,"April 27, 2018",1.6,4.1 and up
35,How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,-0.15196932579338843,9200000.0,100000.0,Free,0.0,Everyone,Art & Design,"July 11, 2018",2.1,4.1 and up
36,UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,-0.1474235015816411,24000000.0,500000.0,Free,0.0,Everyone,Art & Design;Creativity,"August 2, 2018",1.0.9,4.4 and up
38,PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,-0.15221277713621514,11000000.0,10000.0,Free,0.0,Everyone,Art & Design,"November 29, 2017",1.3,4.0.3 and up
39,How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,-0.1519531356794566,9400000.0,500000.0,Free,0.0,Everyone,Art & Design,"March 31, 2018",1,4.0 and up
40,Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,-0.15223736212403755,15000000.0,10000.0,Free,0.0,Everyone,Art & Design,"July 20, 2018",2.0.1,4.0.3 and up
41,Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,-0.15220198372692728,10000000.0,100000.0,Free,0.0,Everyone,Art & Design,"April 2, 2018",1.0,4.0.3 and up
43,Paint Splash!,ART_AND_DESIGN,3.8,-0.15098472701279364,1200000.0,100000.0,Free,0.0,Everyone,Art & Design;Creativity,"April 15, 2018",1.46,4.1 and up
44,Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,-0.1522919288043263,12000000.0,10000.0,Free,0.0,Everyone,Art & Design,"January 3, 2018",1.0.0,4.1 and up
45,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,-0.04765282392753355,24000000.0,10000000.0,Free,0.0,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up
46,Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,-0.15166591106562902,26000000.0,100000.0,Free,0.0,Everyone,Art & Design,"November 14, 2017",1.6,4.1 and up
47,Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,-0.15225655040721603,8000000.0,100000.0,Free,0.0,Everyone,Art & Design,"December 17, 2017",2.0.0,4.1 and up
48,How To Draw Food,ART_AND_DESIGN,4.3,-0.15180082868172756,7900000.0,100000.0,Free,0.0,Everyone,Art & Design,"May 28, 2018",1.0,2.3 and up
49,Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,-0.15208745366170584,25000000.0,100000.0,Free,0.0,Everyone,Auto & Vehicles,"May 10, 2018",1.0,4.0.3 and up
50,Real Tractor Farming,AUTO_AND_VEHICLES,4.0,-0.1513493043931844,56000000.0,1000000.0,Free,0.0,Everyone,Auto & Vehicles,"July 26, 2018",11.0,4.1 and up
